7c0f5849,Tom Cruise,1962,07,03,
4a7a4a9e,Sandra Bullock,1964,07,26,
cbe469fe,Tom Hanks,1956,07,09,
606db772,Cameron Diaz,1972,08,30,
b57d2fd4,Denzel Washington,1954,12,28,
fbcded80,Dakota Fanning,1994,02,23,
3f46cda2,Sean Penn,1960,08,17,
e96af57c,Angelina Jolie,1975,06,04,
5332551c,Meryl Streep,1949,06,22,
70c2d18c,Anne Hathaway,1982,11,12,
a8474cc0,Robert De Niro,1943,08,17,
62a1f007,Clint Eastwood,1930,05,31,
86d5dd58,Julia Roberts,1967,10,28,
c24662e5,Rene Russo,1954,02,17,
63e5497c,Dustin Hoffman,1937,08,08,
e82f1fa0,Robin Williams,1951,07,21,2014
d2ce124e,Matt Damon,1970,10,08,
3e453735,Ben Affleck,1972,08,15,
2e1be4a0,Gene Hackman,1930,01,30,
7dbf6b19,Will Smith,1968,09,25,
